DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
11/06/25;07:00:00;123.06;123.29;122.86;123.14;461240
11/06/25;07:15:00;123.14;123.15;122.94;122.98;100730
11/06/25;07:30:00;122.98;122.98;122.8;122.86;235910
11/06/25;07:45:00;122.86;122.99;122.82;122.98;119030
11/06/25;08:00:00;122.99;122.99;122.5;122.5;322290
11/06/25;08:15:00;122.51;122.57;122.22;122.32;388730
11/06/25;08:30:00;122.3;122.7;122.3;122.62;123710
11/06/25;08:45:00;122.63;122.72;122.57;122.62;78960
11/06/25;09:00:00;122.66;122.69;122.33;122.52;339890
11/06/25;09:15:00;122.52;122.75;122.45;122.74;258320
11/06/25;09:30:00;122.74;122.87;122.7;122.8;236780
11/06/25;09:45:00;122.8;122.99;122.78;122.94;345760
11/06/25;10:00:00;122.94;123.4;122.72;123.13;1194130
11/06/25;10:15:00;123.12;123.2;122.85;123.13;622850
11/06/25;10:30:00;123.13;123.59;123.13;123.44;1209480
11/06/25;10:45:00;123.44;123.55;123.15;123.25;492330
11/06/25;11:00:00;123.24;123.5;123.15;123.41;317210
11/06/25;11:15:00;123.41;123.54;123.11;123.12;562610
11/06/25;11:30:00;123.12;123.38;123.09;123.15;302390
11/06/25;11:45:00;123.15;123.15;122.8;122.85;546490
11/06/25;12:00:00;122.83;123.27;122.8;123.03;469810
11/06/25;12:15:00;123.04;123.15;122.62;122.63;782570
11/06/25;12:30:00;122.63;122.63;122.35;122.57;1655070
11/06/25;12:45:00;122.55;122.7;122.33;122.41;1130940
11/06/25;13:00:00;122.41;122.67;122.36;122.48;761620
11/06/25;13:15:00;122.48;123.04;122.41;122.83;945950
11/06/25;13:30:00;122.82;123;122.7;122.78;409290
11/06/25;13:45:00;122.77;122.84;122.62;122.83;209210
11/06/25;14:00:00;122.83;122.99;122.7;122.74;323060
11/06/25;14:15:00;122.75;122.93;122.65;122.81;169400
11/06/25;14:30:00;122.82;122.88;122.5;122.62;585500
11/06/25;14:45:00;122.6;123.03;122.56;123.02;516490
11/06/25;15:00:00;123.02;123.03;122.7;122.94;390340
11/06/25;15:15:00;122.91;123.1;122.88;123.08;695270
11/06/25;15:30:00;123.06;123.31;123.06;123.26;943130
11/06/25;15:45:00;123.28;123.43;123;123.35;893000
11/06/25;16:00:00;123.35;123.35;123;123.06;491080
11/06/25;16:15:00;123.07;123.25;123.03;123.16;279270
11/06/25;16:30:00;123.13;123.26;123;123;620190
11/06/25;16:45:00;123.01;123.07;122.77;122.82;526920
11/06/25;17:00:00;122.82;122.95;122.55;122.81;811400
11/06/25;17:15:00;122.8;122.84;122.6;122.64;661700
11/06/25;17:30:00;122.66;123;122.62;122.82;456520
11/06/25;17:45:00;122.82;122.98;122.8;122.85;139730
11/06/25;18:00:00;122.85;123.03;122.71;123.01;295950
11/06/25;18:15:00;123.01;123.07;122.86;123.02;289180
11/06/25;18:30:00;123.02;123.05;122.9;122.99;200460
11/06/25;18:45:00;122.88;122.88;122.88;122.88;139800
11/06/25;19:00:00;123.02;123.07;122.87;123.02;509770
11/06/25;19:15:00;123.02;123.05;122.61;122.71;674590
11/06/25;19:30:00;122.71;122.92;122.6;122.67;441530
11/06/25;19:45:00;122.67;122.85;122.6;122.84;166980
11/06/25;20:00:00;122.84;122.85;122.48;122.64;612710
11/06/25;20:15:00;122.65;122.82;122.6;122.74;263960
11/06/25;20:30:00;122.72;123.03;122.7;122.82;363830
11/06/25;20:45:00;122.82;122.9;122.56;122.57;123890
11/06/25;21:00:00;122.58;123.17;122.58;122.91;392120
11/06/25;21:15:00;122.91;122.91;122.72;122.84;217640
11/06/25;21:30:00;122.84;122.97;122.81;122.95;82020
11/06/25;21:45:00;122.96;123;122.7;122.84;302010
11/06/25;22:00:00;122.84;122.87;122.72;122.86;86810
11/06/25;22:15:00;122.86;122.93;122.8;122.81;105670
11/06/25;22:30:00;122.81;122.81;122.7;122.75;229450
11/06/25;22:45:00;122.75;122.8;122.69;122.76;192910
11/06/25;23:00:00;122.73;122.9;122.73;122.83;163110
11/06/25;23:15:00;122.83;122.9;122.8;122.89;203620
11/06/25;23:30:00;122.85;123;122.85;122.95;402570
11/06/25;23:45:00;122.92;122.97;122.82;122.84;347120
13/06/25;07:00:00;124.11;124.49;123.62;123.91;1785190
13/06/25;07:15:00;123.9;124.13;123.61;123.83;662610
13/06/25;07:30:00;123.86;124.06;123.75;124.05;186480
13/06/25;07:45:00;124.06;124.39;124;124.02;524510
13/06/25;08:00:00;124.04;124.4;124.04;124.34;273680
13/06/25;08:15:00;124.34;124.36;124.05;124.06;223990
13/06/25;08:30:00;124.05;124.21;124;124.12;326130
13/06/25;08:45:00;124.11;124.24;124.04;124.06;149970
13/06/25;09:00:00;124.05;124.11;123.45;123.64;1394540
13/06/25;09:15:00;123.67;123.71;123.31;123.38;327980
13/06/25;09:30:00;123.39;123.51;123.11;123.22;493230
13/06/25;09:45:00;123.21;123.36;123.12;123.29;345860
13/06/25;10:00:00;123.29;123.44;123.19;123.36;390180
13/06/25;10:15:00;123.36;123.6;123.26;123.27;462690
13/06/25;10:30:00;123.27;123.57;123.26;123.56;180560
13/06/25;10:45:00;123.56;123.58;123.16;123.28;579930
13/06/25;11:00:00;123.28;123.35;123.15;123.17;198660
13/06/25;11:15:00;123.16;123.36;123.06;123.35;240230
13/06/25;11:30:00;123.36;123.47;123.18;123.26;274040
13/06/25;11:45:00;123.26;123.35;123.12;123.28;230420
13/06/25;12:00:00;123.28;123.64;123.24;123.57;494130
13/06/25;12:15:00;123.58;123.78;123.34;123.67;885410
13/06/25;12:30:00;123.68;123.92;123.54;123.73;605720
13/06/25;12:45:00;123.74;124.06;123.73;123.97;673820
13/06/25;13:00:00;123.96;124.04;123.72;123.83;760280
13/06/25;13:15:00;123.83;123.9;123.71;123.81;367160
13/06/25;13:30:00;123.79;123.9;123.7;123.85;335340
13/06/25;13:45:00;123.84;123.9;123.74;123.75;126150
13/06/25;14:00:00;123.75;123.81;123.52;123.53;232340
13/06/25;14:15:00;123.52;123.7;123.52;123.58;183740
13/06/25;14:30:00;123.59;123.73;123.58;123.67;148970
13/06/25;14:45:00;123.68;123.74;123.58;123.69;139020
13/06/25;15:00:00;123.7;123.88;123.68;123.82;284600
13/06/25;15:15:00;123.82;123.93;123.82;123.83;204530
13/06/25;15:30:00;123.84;123.91;123.73;123.73;146110
13/06/25;15:45:00;123.73;123.73;123.6;123.63;166950
13/06/25;16:00:00;123.63;123.83;123.59;123.75;157430
13/06/25;16:15:00;123.73;123.84;123.67;123.73;156340
13/06/25;16:30:00;123.74;123.83;123.57;123.66;150510
13/06/25;16:45:00;123.66;123.7;123.55;123.64;109720
13/06/25;17:00:00;123.68;123.7;123.54;123.64;127860
13/06/25;17:15:00;123.64;123.72;123.6;123.66;71640
13/06/25;17:30:00;123.66;123.78;123.66;123.72;81610
13/06/25;17:45:00;123.71;123.85;123.58;123.64;244800
13/06/25;18:00:00;123.64;123.67;123.5;123.66;699210
13/06/25;18:15:00;123.67;123.82;123.57;123.58;513080
13/06/25;18:30:00;123.58;123.64;123.51;123.59;271750
13/06/25;18:45:00;123.6;123.6;123.6;123.6;7380
13/06/25;19:00:00;123.6;123.7;123.46;123.48;156960
13/06/25;19:15:00;123.49;123.54;123.3;123.32;357290
13/06/25;19:30:00;123.32;123.48;123.31;123.47;163510
13/06/25;19:45:00;123.46;123.47;123.37;123.4;53260
13/06/25;20:00:00;123.38;123.41;123.34;123.39;68710
13/06/25;20:15:00;123.39;123.39;123.28;123.29;93370
13/06/25;20:30:00;123.29;123.49;123.27;123.49;143440
13/06/25;20:45:00;123.49;123.5;123.46;123.5;97550
13/06/25;21:00:00;123.48;123.5;123.43;123.46;29380
13/06/25;21:15:00;123.46;123.48;123.43;123.44;41080
13/06/25;21:30:00;123.46;123.62;123.41;123.61;244300
13/06/25;21:45:00;123.61;123.61;123.53;123.58;33680
13/06/25;22:00:00;123.57;123.58;123.51;123.54;105800
13/06/25;22:15:00;123.55;123.64;123.5;123.6;140310
13/06/25;22:30:00;123.63;123.65;123.58;123.58;50920
13/06/25;22:45:00;123.6;123.63;123.45;123.45;104140
13/06/25;23:00:00;123.46;123.58;123.45;123.48;99210
13/06/25;23:15:00;123.53;123.53;123.45;123.45;70670
13/06/25;23:30:00;123.45;123.5;123.36;123.44;265730
13/06/25;23:45:00;123.45;123.48;123.36;123.39;177940
14/06/25;09:45:00;123.85;123.85;123.85;123.85;6470
14/06/25;10:00:00;123.73;123.91;123.57;123.73;219610
14/06/25;10:15:00;123.74;123.79;123.68;123.78;100620
14/06/25;10:30:00;123.78;123.86;123.7;123.74;145890
14/06/25;10:45:00;123.7;123.74;123.7;123.74;68010
14/06/25;11:00:00;123.71;123.82;123.7;123.78;82850
14/06/25;11:15:00;123.78;123.78;123.7;123.74;38520
14/06/25;11:30:00;123.74;123.9;123.7;123.88;200800
14/06/25;11:45:00;123.88;123.94;123.88;123.92;131600
14/06/25;12:00:00;123.91;124.09;123.9;124.09;444840
14/06/25;12:15:00;124.09;124.25;123.95;124.18;359410
14/06/25;12:30:00;124.17;124.5;124.06;124.43;605060
14/06/25;12:45:00;124.42;124.48;124.23;124.36;220640
14/06/25;13:00:00;124.36;124.59;124.36;124.59;441830
14/06/25;13:15:00;124.59;124.59;124.34;124.43;264980
14/06/25;13:30:00;124.43;124.54;124.18;124.18;166490
14/06/25;13:45:00;124.2;124.39;124.17;124.22;97090
14/06/25;14:00:00;124.26;124.5;124.1;124.5;682930
14/06/25;14:15:00;124.49;124.51;124.09;124.16;341780
14/06/25;14:30:00;124.16;124.21;124.09;124.17;48830
14/06/25;14:45:00;124.17;124.49;124.17;124.4;317660
14/06/25;15:00:00;124.38;124.5;124.33;124.38;142860
14/06/25;15:15:00;124.4;124.79;124.31;124.71;693950
14/06/25;15:30:00;124.7;124.79;124.48;124.48;258190
14/06/25;15:45:00;124.49;124.53;124.44;124.49;72400
14/06/25;16:00:00;124.49;124.52;124.31;124.45;76620
14/06/25;16:15:00;124.45;124.61;124.42;124.61;69900
14/06/25;16:30:00;124.55;124.74;124.55;124.74;81560
14/06/25;16:45:00;124.73;124.75;124.59;124.61;81420
14/06/25;17:00:00;124.62;124.94;124.6;124.94;326170
14/06/25;17:15:00;124.92;124.97;124.63;124.78;451200
14/06/25;17:30:00;124.79;124.79;124.68;124.73;43250
14/06/25;17:45:00;124.72;124.79;124.65;124.72;104180
14/06/25;18:00:00;124.71;124.73;124.59;124.67;110110
14/06/25;18:15:00;124.66;125.18;124.66;125.06;837400
14/06/25;18:30:00;125.06;125.3;125;125.18;570270
14/06/25;18:45:00;125.19;125.52;125.12;125.5;861530
15/06/25;09:45:00;126.26;126.26;126.26;126.26;68840
15/06/25;10:00:00;126.27;126.75;126.23;126.32;1436840
15/06/25;10:15:00;126.32;126.34;124.15;124.3;3916510
15/06/25;10:30:00;124.35;125.05;123.59;124.65;2244990
15/06/25;10:45:00;124.66;125.15;124.2;124.59;1177940
15/06/25;11:00:00;124.6;124.91;124.52;124.7;383460
15/06/25;11:15:00;124.75;124.89;124.66;124.8;141670
15/06/25;11:30:00;124.79;124.8;124.39;124.62;374560
15/06/25;11:45:00;124.65;124.65;124.5;124.59;139060
15/06/25;12:00:00;124.59;124.68;124.42;124.46;121990
15/06/25;12:15:00;124.46;124.72;124.32;124.69;255210
15/06/25;12:30:00;124.69;124.7;124.52;124.58;117000
15/06/25;12:45:00;124.52;124.63;124.46;124.6;90020
15/06/25;13:00:00;124.6;124.79;124.5;124.72;277950
15/06/25;13:15:00;124.74;125.06;124.74;124.96;459800
15/06/25;13:30:00;124.95;124.96;124.8;124.87;87320
15/06/25;13:45:00;124.9;125.12;124.87;124.9;233660
15/06/25;14:00:00;124.9;125.25;124.9;125.25;196440
15/06/25;14:15:00;125.24;125.3;125.1;125.27;280390
15/06/25;14:30:00;125.29;125.55;125.26;125.28;345410
15/06/25;14:45:00;125.28;125.47;125.26;125.29;154350
15/06/25;15:00:00;125.31;125.48;125.29;125.43;83530
15/06/25;15:15:00;125.43;125.52;125.3;125.34;74160
15/06/25;15:30:00;125.31;125.41;125.2;125.37;135240
15/06/25;15:45:00;125.35;125.38;125.2;125.22;68830
15/06/25;16:00:00;125.23;125.28;125.15;125.25;49170
15/06/25;16:15:00;125.25;125.25;125.04;125.08;111910
15/06/25;16:30:00;125.06;125.34;125;125.01;236690
15/06/25;16:45:00;125;125.22;124.93;125.12;154880
15/06/25;17:00:00;125.12;125.22;125.04;125.13;140790
15/06/25;17:15:00;125.1;125.16;125.04;125.1;78590
15/06/25;17:30:00;125.12;125.13;124.92;125;121120
15/06/25;17:45:00;125.01;125.11;124.94;125.05;84890
15/06/25;18:00:00;125.05;125.46;125;125.21;287840
15/06/25;18:15:00;125.24;125.4;125.23;125.28;110980
15/06/25;18:30:00;125.28;125.45;125.1;125.16;299280
15/06/25;18:45:00;125.19;125.38;125.1;125.15;184910
16/06/25;07:00:00;125.65;125.85;125.15;125.4;1201720
16/06/25;07:15:00;125.4;125.6;125.39;125.51;326480
16/06/25;07:30:00;125.52;125.58;124.86;125.1;609230
16/06/25;07:45:00;125.1;125.43;125.05;125.25;173940
16/06/25;08:00:00;125.28;125.34;125.07;125.07;188230
16/06/25;08:15:00;125.07;125.2;124.96;125.19;244380
16/06/25;08:30:00;125.19;125.2;124.96;125.12;191220
16/06/25;08:45:00;125.13;125.13;124.98;125.07;92490
16/06/25;09:00:00;125.04;125.05;124.52;124.6;919740
16/06/25;09:15:00;124.6;124.68;124.41;124.53;698910
16/06/25;09:30:00;124.55;124.58;124.4;124.43;192370
16/06/25;09:45:00;124.44;124.85;124.43;124.84;297930
16/06/25;10:00:00;124.84;124.95;124.57;124.68;872170
16/06/25;10:15:00;124.69;124.9;124.45;124.6;785150
16/06/25;10:30:00;124.58;124.61;124.18;124.31;1369320
16/06/25;10:45:00;124.3;124.43;124.05;124.3;878660
16/06/25;11:00:00;124.32;124.57;124.16;124.55;1273820
16/06/25;11:15:00;124.56;124.65;124.19;124.64;890690
16/06/25;11:30:00;124.61;124.81;124.38;124.67;1200570
16/06/25;11:45:00;124.64;124.73;124.5;124.5;398200
16/06/25;12:00:00;124.51;124.72;124.28;124.66;961680
16/06/25;12:15:00;124.68;124.87;124.59;124.63;498190
16/06/25;12:30:00;124.6;124.67;124.45;124.46;525540
16/06/25;12:45:00;124.45;124.67;124.4;124.63;596080
16/06/25;13:00:00;124.62;124.7;124.49;124.56;409570
16/06/25;13:15:00;124.57;124.66;124.36;124.44;299730
16/06/25;13:30:00;124.44;124.44;124.15;124.22;500350
16/06/25;13:45:00;124.23;124.33;123.81;123.99;1167470
16/06/25;14:00:00;124;124.23;123.75;123.92;732200
16/06/25;14:15:00;123.94;124.23;123.89;124.13;1652580
16/06/25;14:30:00;124.13;124.26;124.05;124.1;294680
16/06/25;14:45:00;124.1;124.1;123.88;124.08;379720
16/06/25;15:00:00;124.07;124.19;124.01;124.11;170120
16/06/25;15:15:00;124.1;124.27;123.98;124.25;381290
16/06/25;15:30:00;124.25;124.29;123.81;123.82;531600
16/06/25;15:45:00;123.82;123.95;123.52;123.64;1155460
16/06/25;16:00:00;123.67;123.88;123.3;123.43;930810
16/06/25;16:15:00;123.44;123.5;122.81;123.03;2641030
16/06/25;16:30:00;123.02;123.2;122.89;123.1;1064260
16/06/25;16:45:00;123.09;123.14;122.66;122.74;1486850
16/06/25;17:00:00;122.74;123.08;122.7;122.93;515730
16/06/25;17:15:00;122.93;123.18;122.76;123.14;546520
16/06/25;17:30:00;123.14;123.37;123;123.32;572150
16/06/25;17:45:00;123.34;123.39;122.93;123.11;636360
16/06/25;18:00:00;123.11;123.13;122.88;123.09;411550
16/06/25;18:15:00;123.1;123.12;122.88;123.07;307590
16/06/25;18:30:00;123.07;123.07;122.86;122.93;263990
16/06/25;18:45:00;122.93;122.93;122.93;122.93;110720
16/06/25;19:00:00;123;123.07;122.87;123.02;254050
16/06/25;19:15:00;123.02;123.27;122.88;123.2;435280
16/06/25;19:30:00;123.19;123.24;122.96;123.07;299440
16/06/25;19:45:00;123.06;123.2;123.05;123.09;125420
16/06/25;20:00:00;123.09;123.19;123.01;123.14;187650
16/06/25;20:15:00;123.11;123.18;123.07;123.08;135000
16/06/25;20:30:00;123.08;123.14;123;123.03;137530
16/06/25;20:45:00;123.01;123.09;123;123.05;46420
16/06/25;21:00:00;123.05;123.17;123.02;123.13;86440
16/06/25;21:15:00;123.13;123.13;122.87;122.94;371350
16/06/25;21:30:00;122.91;122.98;122.9;122.95;148990
16/06/25;21:45:00;122.95;122.98;122.75;122.88;241250
16/06/25;22:00:00;122.9;122.9;122.72;122.78;247410
16/06/25;22:15:00;122.78;122.92;122.78;122.88;108640
16/06/25;22:30:00;122.87;122.92;122.8;122.83;121050
16/06/25;22:45:00;122.86;122.96;122.8;122.95;171450
